category,food_name,calories_kcal_per_100g,fat_g_per_100g,carbs_g_per_100g
"3STTPBRR3I","万有全 黑豆豆浆","38.24","1.9","1.8"
"3STTPBRR3I","味全素瓜仔肉","217","7.7","27.9"
"3STTPBRR3I","文明堂千叶脆豆腐","71.46","0","8.6"
"3STTPBRR3I","五谷香冰糖豆腐花(红豆味)","61.19","1.3","10"
"3STTPBRR3I","象山 象山腐竹","475.38","25","18"
"3STTPBRR3I","雄鸡标 蕃茄汁焗豆(原味)","76.4","0","15"
"3STTPBRR3I","旭洋 油豆腐","270.08","13.9","12.5"
"3STTPBRR3I","雅方 手工火锅冻豆腐","73","3.6","3"
"3STTPBRR3I","艺杏 7度豆浆","49","1.8","5"
"3STTPBRR3I","雨润酱卤豆腐干(梅汁)","232.07","16.4","6.8"
"3STTPBRR3I","玉叶 豆腐皮","520.08","35.4","13.3"
"3STTPBRR3I","玉叶 豆腐皮(果蔬豆腐皮)","520.08","35.4","13.3"
"3STTPBRR3I","缘素 第一素鱼","302.58","22.9","9.8"
"3STTPBRR3I","缘素 美味素肠","53.3","2.4","7.9"
"3STTPBRR3I","缘素 素鸡翅","302.58","22.9","9.8"
"3STTPBRR3I","缘素 素肉排","371.65","30.3","9.4"
"3STTPBRR3I","斋九福 僧斋宝","239.96","12.1","11"
"3STTPBRR3I","斋九福 山珍燕丸","224.43","10","16.3"
"3STTPBRR3I","斋善 素鸡腿","184.18","10.2","13.8"
"3STTPBRR3I","张公山寨 腊八豆","323.61","25.9","11.2"
"3STTPBRR3I","张小宝 素肠","130","1","7"
"3STTPBRR3I","祖名 甜豆浆","51.63","2.7","4.6"
"3STTPBRR3I","祖名 盐卤老豆腐","67.4","4.1","1"
"3STTPBRR3I","祖名素鸡","175.67","10","6"
"3STTPBRR3I","figo 家美食 Figo 干贝海鲜豆腐","116.87","0","20"
"3STTPBRR3I","Heirler 有机纯素萨拉米香肠","315","26.3","14.3"
"3STTPBRR3I","Heirler 有机纯素上校鸡块","266","15.4","13.8"
"3STTPBRR3I","Heirler 有机纯素猪排","264","15.7","12"
"3STTPBRR3I","m-syoku 御城纳豆","142.21","3.7","7.2"
"3STTPBRR3I","Misuzu 冻豆腐干","539.39","36.97","0.61"
"3STTPBRR3I","WAKODO和光堂  WAKODO 和光堂 鸡肝麻婆豆腐","43.75","1.25","5.75"
"3STTPBRR3I","ヤマダイ北海道函馆昆布纳豆(极小粒)","198.38","10","17"
"44ELNPAHH8","奥多利拍摩德纳芳香醋","444","0","88.67"
"44ELNPAHH8","白醋","6","0.6","0"
"44ELNPAHH8","百味佳 鸡精","248.09","4.3","38.2"
"44ELNPAHH8","百味佳 嫩肉粉","344.65","0","84.8"
"44ELNPAHH8","鲍勃红磨坊 BOB'SREDMILLCARAWAYSEEDS","227.27","0","45.45"
"44ELNPAHH8","厨之选 青芥粉","351.34","6","58.2"
"44ELNPAHH8","春砂 黄皮醋","29.88","0","6.4"
"44ELNPAHH8","醋","31","0.3","4.9"
"44ELNPAHH8","富良野 カレー野菜咖喱","67","1.8","11"
"44ELNPAHH8","富士食品 洋葱炖肉味炒饭料(干料)","242.86","1.43","47.14"
"44ELNPAHH8","糕丽饰品 四格仙女粉红白混装","400","4","94"
"44ELNPAHH8","廣燦 乌豆沙","420.89","23.8","43.8"
"44ELNPAHH8","哈奇 盖浇饭汁(3种海鲜)","80","4.69","6.81"
"44ELNPAHH8","好侍 佳瓦咖喱(不辣)","560.23","42.3","38.6"
"44ELNPAHH8","好侍 咖喱盖浇汁","95.24","5.33","9.14"
"44ELNPAHH8","花椒","316","8.9","66.5"
"44ELNPAHH8","皇城老妈工坊 红汤 川西菜籽油火锅底料","599.9","50.5","23.7"
"44ELNPAHH8","嘉乐 香菇滑鸡速食调理包","157.74","7.5","16.1"
"44ELNPAHH8","嘉乐 香乐大排速食调理包","110.66","4.1","7.6"
"44ELNPAHH8","江原 烧肉汁","127.78","1.11","24.44"
"44ELNPAHH8","酱油(冬菇)","39","0.1","5.9"
"44ELNPAHH8","酱油(多味)","86","0.4","12.9"
"44ELNPAHH8","酱油(高级)","71","0.2","9"
"44ELNPAHH8","酱油(三级)","40","0.4","2.4"
"44ELNPAHH8","酱油(三鲜)","41","0.1","6.6"
"44ELNPAHH8","酱油(味精)","51","0.1","5.7"
"44ELNPAHH8","可达怡 白胡椒粉","322.18","2.1","64.3"
"44ELNPAHH8","可果美 酿熟猪排调味汁","151","0","36.7"
"44ELNPAHH8","苦豆子","270","2.4","72.3"
"44ELNPAHH8","酷克壹佰 烤肉料(新蜜汁烤肉)","262.93","0","66.43"
"44ELNPAHH8","辣椒粉","290","9.5","57.7"
"44ELNPAHH8","老抽","129","0.3","23.8"
"44ELNPAHH8","美极 波伦亚焗肉酱料","318","6","56.3"
"44ELNPAHH8","七式 传统老五仁馅料","390.54","15.7","56.6"
"44ELNPAHH8","奇子香 栗油回味膏 调味料","116.87","3.2","4"
"44ELNPAHH8","奇子香 特鲜1号 固体调味料","169.46","0","23.6"
"44ELNPAHH8","桥头 美味酸菜鱼调料","141.01","15.2","0.8"
"44ELNPAHH8","桥头 拿手毛血旺调料","343.45","36.9","1.5"
"44ELNPAHH8","日清 妈妈烧牛肉酱汁","125","6.69","13.69"
"44ELNPAHH8","日清 美味宝日式咖哩(蘑菇肉丁)","79.2","3.88","5.12"
"44ELNPAHH8","三岛 和风沙拉汁(芥末味)","151.46","10.2","12.1"
"44ELNPAHH8","三岛 米西玛咖喱","512.43","35.8","32.3"
"44ELNPAHH8","三岛 米西玛咖喱(辛口)","452.44","23.9","40.9"
"44ELNPAHH8","三岛 日式拌菜汁(芥末口味)","166.59","11.2","10.9"
"44ELNPAHH8","山上专科 荞麦冷面汁","43","0","8.3"
"44ELNPAHH8","寿司醋","159.4","0.1","39.5"
"44ELNPAHH8","蜀粹坊 牛油红汤火锅底料(老母鸡复合调味料)","243.79","14.5","11.6"
"44ELNPAHH8","蜀粹坊 清油红汤火锅底料(芝麻调和油)","810.23","91.4","0"
"44ELNPAHH8","蜀香 回锅肉调料","237.57","15.3","14"
"44ELNPAHH8","蜀香 麻婆豆腐调料","329.35","31.6","4"
"44ELNPAHH8","蜀香 牛肉面调料","229.45","18.1","8.3"
"44ELNPAHH8","田字德用日本酱油","54","0","5.3"
"44ELNPAHH8","同珍 干炒豉油皇","149","0","34.7"
"44ELNPAHH8","同珍 王字老抽","124","0.4","23.3"
"44ELNPAHH8","丸美屋 回锅肉炒饭料","309.73","4.16","56.64"
"44ELNPAHH8","丸美屋 青椒肉丝炒饭料","258.06","0.86","47.31"
"44ELNPAHH8","望红 麻辣蒸肉米粉","353.73","0.7","75"
"44ELNPAHH8","味岛豆腐味增汤","340","0","60"
"44ELNPAHH8","味嘟嘟 咖喱牛肉味","91.18","4.45","9.8"
"44ELNPAHH8","味精","268","0.2","26.5"
"44ELNPAHH8","希美 包子饺子粉","347.99","8","68"
"44ELNPAHH8","希美 黑胡椒碎","359.23","2","75"
"44ELNPAHH8","希美 咖喱粉","70.03","0","13"
"44ELNPAHH8","希美 孜然粉","366.87","11","63"
"44ELNPAHH8","呷哺呷哺 海鲜调料","35.37","0","5.6"
"44ELNPAHH8","呷哺呷哺 味增鲜椒调料","183.56","11.5","14"
"44ELNPAHH8","鲜厨 花椒粉","373.09","8.9","66.5"
"44ELNPAHH8","鲜厨牌 海鲜味素调味料","140.06","3.5","25.5"
"44ELNPAHH8","鲜厨牌 卤味调味料","174.95","5.3","30.6"
"44ELNPAHH8","鲜厨牌 五香粉调料","260.99","4.2","54.7"
"44ELNPAHH8","香醋","68","0.1","13"
"44ELNPAHH8","养生源 黄金面包蜜汁","316.92","0","78"
"44ELNPAHH8","樱鹤 鳗鱼汁","153.68","0","34.4"
"44ELNPAHH8","樱鹤 寿司酸酸味液体调味料","141.49","0","30.8"
"44ELNPAHH8","樱鹤 猪扒汁 甜味液体调味料","109.7","0","27"
"44ELNPAHH8","鱿鱼标香甜鱼露","51.15","0","2.94"
"44ELNPAHH8","珠江桥 港式珠江蚝油","68.53","0","14"
"44ELNPAHH8","珠江桥牌草菇老抽","119.98","0","24.3"
"44ELNPAHH8","钻石 牌轻松煮系列特浓黑椒粉","265.54","1.4","64"
"44ELNPAHH8","钻石 牌轻松煮系列意式香草粉","220","1.2","56.8"
"44ELNPAHH8","ACE 柚子醋","21.3","0","4.5"
"44ELNPAHH8","Gits ALOO MATAR 印度即食咖喱","126.67","8","10.67"
"44ELNPAHH8","Gits RAJMA MASALA 印度即食蔬菜咖喱","126.67","6","13.33"
"44ELNPAHH8","HOTEi 盐味鸡肉拌饭料","385.19","12.96","53.33"
"44ELNPAHH8","House 咖喱屋 浓厚黛米咖喱(中辛)","90","4.7","9.7"
"44ELNPAHH8","keluaran Pulau Pinang Buah Pala","331.26","0.4","86"
"44ELNPAHH8","Nappa 印尼炒饭玛莎拉","397.08","13.8","54.5"
"44ELNPAHH8","NATIONAL FISH FRIED 烤鱼咖喱粉","250","15","40"
"44ELNPAHH8","NATIONAL SEEKH KABAB 肉卷香肠咖喱粉","285.71","14.29","35.71"
"44ELNPAHH8","nichifuri ふりかけ俱乐部 11种香辛料咖喱拌饭","385.19","7.78","67.78"
"44ELNPAHH8","S+B 爱思必 金牌咖哩砖 大辣","550","35","40"
"44ELNPAHH8","S+B 爱思必 S+B 焙煎全粒粉状咖喱(中辛)","485.71","32","38.86"
"44ELNPAHH8","S+B 爱思必 S+B 浓厚奶酪烩饭素","355","9.3","56.7"
"44ELNPAHH8","TaNaKa 田中 田中 十种谷物裙带菜芝麻拌饭料","366.67","18.33","32.67"
"44ELNPAHH8","TaNaKa 田中 田中食品 蔬菜小鱼裙带菜芝麻 拌饭料","356.67","17.33","15.67"
"44ELNPAHH8","Thai dance 泰式鸡肉红咖喱","154.88","12.2","3.1"
"44ELNPAHH8","Суп 俄式罗宋汤料","306","3.6","59.3"
"44ELNPAHH8","Суп 鸡肉面条汤料","293","2.1","58.4"
"44ELNPAHH8","Суп 鸡肉通心粉汤料","295","2.1","58.9"
"44ELNPAHH8","Суп 牛肉面条汤料","293","2.1","57.8"
"ADUDM0SF95","百干道 港式鸳鸯","65.01","2","10.8"
"ADUDM0SF95","版纳雨林 芒果鸡尾果汁饮料","44.69","0","11"
"ADUDM0SF95","不二家 水蜜桃果肉饮料","45","0.1","10.6"
"ADUDM0SF95","萃米源糙米味饮料","57.6","1","12"
"ADUDM0SF95","萃雅源 葡萄汁","60.56","0","15"
"ADUDM0SF95","第5酷 椰果菠萝复合果汁饮料","9.08","0","2.1"
"ADUDM0SF95","东鹏 東鵬 特飲","49.24","0","11.7"
"ADUDM0SF95","菲律宾 芒果汁","53.63","0","12.8"
"ADUDM0SF95","芬特乐牌柠檬味冰茶","29.16","0","7.2"
"ADUDM0SF95","芬特乐牌葡萄汁","64.53","0","15.9"
"ADUDM0SF95","蜂圣 蜂蜜果醋","284.42","0","70"
"ADUDM0SF95","红景天饮料","33","0","8.2"
"ADUDM0SF95","红牛 (牛磺酸强化型)","62.8","0","14.6"
"ADUDM0SF95","红状元牌格瓦斯饮料","33.22","0","8"
"ADUDM0SF95","宏宝莱 生榨(蓝莓)","49.47","0","12.2"
"ADUDM0SF95","鸿福堂 桂圆红枣蓝莓汁","34.89","0","8.5"
"ADUDM0SF95","加多宝 加多寳凉茶(铝罐)","36.33","0","9.1"
"ADUDM0SF95","佳得乐 蓝莓味运动饮料","23.66","0","6"
"ADUDM0SF95","嘉康利能量茶","295.29","0","0"
"ADUDM0SF95","金车 噶玛兰黑麦汁","42.07","0","10.2"
"ADUDM0SF95","金车 噶玛兰黑麦汁(天然柠檬风味)","42.07","0","10.2"
"ADUDM0SF95","聚鸟树 芦荟饮料(荔枝口味)","49","0","12.2"
"ADUDM0SF95","卡米萨 凤梨混合果汁","39.67","0","9"
"ADUDM0SF95","康比特 加速运动饮料","25.1","0","6.2"
"ADUDM0SF95","康师傅 绿茶(低糖)","17.93","0","4.5"
"ADUDM0SF95","康师傅绿茶(冰糖菊花味)","22.23","0","5.5"
"ADUDM0SF95","可口可乐 原叶翠缕绿茶低糖","10.04","0","2.2"
"ADUDM0SF95","克莉丝汀 克里斯汀胚芽乳巧克力口味","63.58","2.2","6.4"
"ADUDM0SF95","肯德基 九珍果汁饮料","64.1","0.1","15.4"
"ADUDM0SF95","寇老西 纯酿苹果醋","39.44","0","9.7"
"ADUDM0SF95","兰翠思 原野蓝梦 蓝莓汁","14.34","0","4"
"ADUDM0SF95","蓝百蓓 野生蓝莓果汁饮料","60.23","0","14.8"
"ADUDM0SF95","乐松 樱桃茶","23.18","0","5.6"
"ADUDM0SF95","鹭芳 小菊菊花植物饮料","6.77","0","1.69"
"ADUDM0SF95","每日咖啡师 咖啡(浓缩摩卡)","59.99","2.2","8.4"
"ADUDM0SF95","美年达冰镇西瓜味","52.34","0","12.9"
"ADUDM0SF95","美姿美 小麦草芦荟汁饮料","29.64","0","7.3"
"ADUDM0SF95","米奇名典苹果醋饮品","10.28","0","2.5"
"ADUDM0SF95","农协 蜜桔果汁饮料(含果肉)","56.64","1.5","10.7"
"ADUDM0SF95","帕玛拉特 圣涛杏汁","59.51","0","14.1"
"ADUDM0SF95","琪雷萨 100%热带杂果汁","42.78","0","9.8"
"ADUDM0SF95","琪雷萨 菠萝汁","48.28","0","11"
"ADUDM0SF95","琪雷萨 苹果汁","62.38","0","14.8"
"ADUDM0SF95","琪雷萨 柚子汁","35.85","0","8"
"ADUDM0SF95","麒麟 氷結柠檬汁果味酒","49","0","3.6"
"ADUDM0SF95","清净园浓缩蓝莓红醋饮料","152.25","0","40.1"
"ADUDM0SF95","雀巢 冰极冰爽茶","34.42","0","8"
"ADUDM0SF95","三得利 利趣鸳鸯","33.46","0.7","5.8"
"ADUDM0SF95","三得利 柠檬饮料","40","0","10.1"
"ADUDM0SF95","三得利 乌龙茶茉莉花味(低糖)","15.54","0","3.8"
"ADUDM0SF95","三佳利 蕃茄汁(食盐无添加)","18.95","0","3.58"
"ADUDM0SF95","三佳利 橙汁饮料","46","0","11"
"ADUDM0SF95","三佳利 热带水果汁饮料","46","0","11.5"
"ADUDM0SF95","膳府百年时光黑醋饮料(覆盆子)","202.68","0","52"
"ADUDM0SF95","十全苹果醋","29.2","0","7"
"ADUDM0SF95","十全葡萄醋","29","0.1","6.9"
"ADUDM0SF95","石埠 晨鲜蜂蜜菊花茶","9.56","0","2.4"
"ADUDM0SF95","台湾美姿美芦荟露12种蔬果芦荟粒","23.9","0","5.8"
"ADUDM0SF95","特种兵 果肉型生榨椰子汁","44.93","1.6","7"
"ADUDM0SF95","天喔茶庄 菊花普洱","6.93","0","1.7"
"ADUDM0SF95","统一 绿茶(白桃味)","19.6","0","4.8"
"ADUDM0SF95","统一 绿茶(低糖茉莉花味)","16.01","0","4"
"ADUDM0SF95","统一弗蕾奶茶-经典麦香","33.22","0.4","6.8"
"ADUDM0SF95","统一植觉 蜂蜜菊花","28.92","0","7.1"
"ADUDM0SF95","娃哈哈 呦呦奶咖","49.24","1.2","8"
"ADUDM0SF95","王老吉 凉茶(瓶)","33.7","0","8.3"
"ADUDM0SF95","维果清 醇厚黄","29.68","0","7.39"
"ADUDM0SF95","维果清 芳香红","38.06","0","8.48"
"ADUDM0SF95","维果清 经典白","94.19","7.35","5.42"
"ADUDM0SF95","乡田真糙米浆","59.6","1.2","11.1"
"ADUDM0SF95","鑫浩 蓝灵圣果有机蓝莓汁","30.11","0","7.4"
"ADUDM0SF95","信远斋 桂花酸梅汤饮品","30.83","0","7.1"
"ADUDM0SF95","星巴克 经典冰咖啡饮料","33.85","0.15","7.08"
"ADUDM0SF95","星巴克 玛琪雅多(豆奶单杯)","35.27","0","3.53"
"ADUDM0SF95","星巴克 美式咖啡","3.31","0","0.66"
"ADUDM0SF95","星巴克 热豆奶香草拿铁","50.73","0.99","8.74"
"ADUDM0SF95","星巴克 西柚汁","42.3","0","9.7"
"ADUDM0SF95","星男 香蕉果汁饮料","60.95","0","15"
"ADUDM0SF95","雪菲力 酸梅饮料","23.18","0","5.3"
"ADUDM0SF95","熏蒸拿铁 每日牌咖啡师咖啡()","166","7.14","21.14"
"ADUDM0SF95","亚利桑那 柠檬味红茶","35.61","1","9"
"ADUDM0SF95","杨协成 马蹄爽","37.76","0","9.3"
"ADUDM0SF95","伊犁蜂业格瓦奇","117.59","0","28.9"
"ADUDM0SF95","宜家 接骨木汁浓缩饮料","239.72","0","59"
"ADUDM0SF95","怡宝 魔力维生素强化饮料","23.66","0","5.5"
"ADUDM0SF95","优鲜沛 蔓越莓葡萄汁","43.2","0","10.8"
"ADUDM0SF95","优珍 芒果桃","12.43","0","3.2"
"ADUDM0SF95","优珍 柠檬","11.47","0","2.4"
"ADUDM0SF95","油茶","96","0.9","20"
"ADUDM0SF95","Bottle Green  Elderflower Pomegranate","30","0","7"
"ADUDM0SF95","CaffeBene 柳橙汁Orange Juice","34.44","0","6.94"
"ADUDM0SF95","dan 橙子果汁饮料","42.07","0","10.1"
"ADUDM0SF95","DAS PLUS 能源动力 草莓水果茶","2","0.1","0.2"
"ADUDM0SF95","DyDo 达亦多 奶茶饮料","29.16","0","6.5"
"ADUDM0SF95","DyDo 达亦多 原味意式牛奶咖啡饮料","35.85","0.7","6.6"
"ADUDM0SF95","Nudie 椰汁","21.51","0.3","5"
"ADUDM0SF95","Sangaria 三加利 Sangaria Postonic Water","12","0","2.9"
"ADUDM0SF95","Snapple斯纳普 柠檬果味饮料","40.17","0","9.94"
"ADUDM0SF95","TEEKANNE 身心放松花草茶","36","5","5"
"ADUDM0SF95","UFC 100%纯椰子水","24.09","0","6.4"
"AZ07CSC20I","7-ELEVEN 7-11茶碗蒸","40.4","2","2"
"AZ07CSC20I","安翌购 台湾铁蛋系列 香辣鸡蛋","236","12.3","5.9"
"AZ07CSC20I","安翌购 台湾铁蛋系列 原味鸡蛋","231","12.7","4.4"
"AZ07CSC20I","鹌鹑蛋","160","11.1","2.1"
"AZ07CSC20I","鹌鹑蛋(五香罐头)","152","11.7","0"
"AZ07CSC20I","藏鸡蛋","162","11.3","2.4"
"AZ07CSC20I","诚兴食品鸡蛋干(酱香味)","121.89","4.5","4"
"AZ07CSC20I","得意中华 顽皮铁蛋(原味)","229","13","9.1"
"AZ07CSC20I","调皮香吧佬 鹌鹑蛋","175.43","12.5","1.5"
"AZ07CSC20I","鹅蛋","196","15.6","2.8"
"AZ07CSC20I","鹅蛋(煮)","177","13.6","1"
"AZ07CSC20I","鹅蛋白","48","0","3.2"
"AZ07CSC20I","鹅蛋黄","324","26.4","6.2"
"AZ07CSC20I","福记 日式滷蛋","185.71","10.86","6.29"
"AZ07CSC20I","高技 日本豆腐","32.98","0.2","4.2"
"AZ07CSC20I","鸽子蛋","96.2","5.74","2.5"
"AZ07CSC20I","光阳 红囍蛋(卤蛋)","138.86","8.3","1.8"
"AZ07CSC20I","光阳 松花皮蛋","152.49","10.3","2.2"
"AZ07CSC20I","光阳 咸蛋黄","540.39","45.4","10.8"
"AZ07CSC20I","海冠牌熟咸蛋","147.27","9.09","3.64"
"AZ07CSC20I","海鸭蛋","243","13.8","16.9"
"AZ07CSC20I","荷包蛋(油煎)","195","15","1.4"
"AZ07CSC20I","荷都 出口级松花蛋","170.17","10.5","2.9"
"AZ07CSC20I","荷都 开门红皮蛋王","170.17","10.5","2.9"
"AZ07CSC20I","荷都 咸蛋王","174","12.1","4.3"
"AZ07CSC20I","红太阳 双黄咸鸭蛋","188.81","12.7","6.3"
"AZ07CSC20I","洪门鸡蛋干(酱香味)","133.84","6.8","5.6"
"AZ07CSC20I","鸿羽食品红太阳正宗咸蛋黄","522.23","45.3","5.3"
"AZ07CSC20I","胡婆婆 鸡蛋干(鸡汁味)","117.3","1.5","10.5"
"AZ07CSC20I","鸡蛋","139","8.6","2.4"
"AZ07CSC20I","鸡蛋(白皮)","138","9","1.5"
"AZ07CSC20I","鸡蛋(红皮)","156","11.1","1.3"
"AZ07CSC20I","鸡蛋(土鸡)","138","6.4","5.6"
"AZ07CSC20I","鸡蛋粉","545","36.2","11.3"
"AZ07CSC20I","鸡蛋黄","328","28.2","3.4"
"AZ07CSC20I","吉野家合茶碗蒸","44.46","2.5","1.9"
"AZ07CSC20I","来伊份 鹌鹑蛋","219.07","18.2","0"
"AZ07CSC20I","老伙计 五香蛋","163","9","4.5"
"AZ07CSC20I","佬味真 野山椒土鸡蛋","198.37","10.2","12.6"
"AZ07CSC20I","乐购 MARKET15CAGED鸡蛋","151","11.2","0"
"AZ07CSC20I","联华创造生活山椒泡鸡蛋","172.08","13.8","1.8"
"AZ07CSC20I","联华鸡汁鸡蛋干","121.8","4.5","4"
"AZ07CSC20I","龙牌平湖糟蛋","188.34","12.8","8.7"
"AZ07CSC20I","绿佳园 中华美味鸡蛋干(酱香味) 绿佳园系列食品","108.03","1.2","10.3"
"AZ07CSC20I","玛鲁哈 MARUHA中华鸡蛋丼","61.67","2.5","6.44"
"AZ07CSC20I","毛蛋","176","13.2","0"
"AZ07CSC20I","梅香皮蛋","141.6","7.9","4.9"
"AZ07CSC20I","南北特 千禧蛋","187","9.2","4.5"
"AZ07CSC20I","鸟王 茶香蛋","170.09","10.3","1.5"
"AZ07CSC20I","鸟王咸鸭蛋","174","12.1","4.3"
"AZ07CSC20I","欧源 鸡蛋豆腐","39.44","1.1","2.3"
"AZ07CSC20I","青松 鸳鸯组合蛋","211.28","16.3","4"
"AZ07CSC20I","全家 鲜贝炖蛋130G","35.6","2.1","0.5"
"AZ07CSC20I","全家 蟹肉味炖蛋","35.79","2.1","0.59"
"AZ07CSC20I","润成 鸡蛋干","138.56","7","6.7"
"AZ07CSC20I","润成 泡香蛋","134.8","10.5","9.4"
"AZ07CSC20I","三珍斋多油咸鸭蛋","176.86","12.7","6"
"AZ07CSC20I","神丹  神丹鹌鹑咸蛋","158.7","10.6","2.3"
"AZ07CSC20I","神丹  神丹茶香蛋","161.33","10.3","1.5"
"AZ07CSC20I","神丹  神丹健康蛋咸鸭蛋黄","526.53","48.2","1.5"
"AZ07CSC20I","神丹 鹌鹑茶蛋","175.43","12.5","1.5"
"AZ07CSC20I","神丹 好土鸡蛋","158.8","10.8","1.6"
"AZ07CSC20I","神丹 鸡蛋干(酱香味)","173.28","13.2","1.5"
"AZ07CSC20I","神丹 咸鸭蛋","174","11.4","7.8"
"AZ07CSC20I","沈师傅 鸡蛋干","154.47","10","3"
"AZ07CSC20I","食同源 乌鸡蛋","102.77","6.4","1.6"
"AZ07CSC20I","舒泰 鸡蛋豆腐","26.53","1.7","0"
"AZ07CSC20I","双汇 香卤蛋","180","10","5"
"AZ07CSC20I","苏趣 川味鸡蛋干","110.9","6.2","2"
"AZ07CSC20I","苏趣 宫廷秘制鹅肝","661.33","61","12.2"
"AZ07CSC20I","田歌 初生咸鸭蛋","186.42","12","5.4"
"AZ07CSC20I","田歌 双黄咸鸭蛋","186.42","12","5.4"
"AZ07CSC20I","统一 日本嫩滑豆腐","51.2","2.24","2.08"
"AZ07CSC20I","乌鸡蛋(绿皮)","170","10.6","6.1"
"AZ07CSC20I","无油煎蛋","164","11.7","0.2"
"AZ07CSC20I","五芳斋 咸鸭蛋 六只装","167.07","11.2","3"
"AZ07CSC20I","喜伴一生 卤鸡蛋","157.27","9","3.7"
"AZ07CSC20I","仙丹鹌鹑皮蛋","134","3","13.5"
"AZ07CSC20I","鲜八里 鹌鹑蛋","239.01","16.4","1.6"
"AZ07CSC20I","鲜八里 香卤鸡蛋","239.01","16.4","0.2"
"AZ07CSC20I","咸鸭蛋","190","12.7","6.3"
"AZ07CSC20I","咸鸭蛋(煮)","177","13.5","0"
"AZ07CSC20I","乡吧佬五香卤蛋","152.25","10.6","0"
"AZ07CSC20I","湘楚人家 优质农家鸡蛋","136.95","7.4","3.4"
"AZ07CSC20I","湘华果园 山地放养土鸡蛋","124.28","7.4","1.2"
"AZ07CSC20I","小康情鸡蛋干","178.06","15.8","0"
"AZ07CSC20I","轩辉 日本豆腐","27.49","0","2.9"
"AZ07CSC20I","鸭蛋","180","13","3.1"
"AZ07CSC20I","鸭蛋白","47","0","1.8"
"AZ07CSC20I","鸭蛋黄","378","33.8","4"
"AZ07CSC20I","野水 咸鸭蛋","174.47","12.3","4.3"
"AZ07CSC20I","伊势鸡蛋(富含维DHA)","135.04","9","1.1"
"AZ07CSC20I","伊势鸡蛋(万湖绿，富含维E)","135.04","9","1.1"
"AZ07CSC20I","雨润铁卤蛋","190.01","12.8","4.5"
"AZ07CSC20I","钰珍香 鸡蛋干","152.01","8.6","5.8"
"AZ07CSC20I","原点鸡蛋干(酱香味)","127.15","8","1.9"
"AZ07CSC20I","智慧鸟 松花皮蛋","155.59","11.4","3.9"
"AZ07CSC20I","竹黄金竹汁鸡蛋干(卤香味)","168.02","11.4","3.8"
"AZ07CSC20I","Better Living鹌鹑蛋","199.81","13.5","2.6"
"AZ07CSC20I","Nichirei日冷 Nichirei/日冷 奶酪培根蛋饼","121.43","6.79","8.21"
"D0BXJ44193","伯朗咖啡 伯朗 咖啡(香草风味)","45.17","0.7","8.1"
"D0BXJ44193","可可粉","349","8.4","54.5"
"D0BXJ44193","乐天 黑咖啡韩国版","2.28","0","0.57"
"D0BXJ44193","麒麟FIRE奶浓醇厚型直火烘焙咖啡","39.44","0.73","7.1"
"D0BXJ44193","三佳利 黑咖啡饮料","1","0","0.3"
"D0BXJ44193","三佳利 拿铁咖啡饮料","19","0.6","2.6"
"D0BXJ44193","森永 MT.RAINIER拿铁咖啡CAFFELATTE","69.17","2.92","8.25"
"D0BXJ44193","特慧优 特选黑咖啡","2.86","0","0.39"
"D0BXJ44193","鲜一杯 拿铁-老旧金山无糖拿铁","465","20","64"
"D0BXJ44193","星巴克 草莓星冰乐(加奶油)","62.5","2.36","9.72"
"D0BXJ44193","星巴克 草莓星冰乐(无奶油)","55.11","0.44","12.13"
"D0BXJ44193","星巴克 美式咖啡(TALL)","2.82","0","0.56"
"D0BXJ44193","星巴克 摩卡(脱脂牛奶、不加奶油)","46.61","0.42","8.9"
"D0BXJ44193","星巴克 摩卡咖啡(大杯)","72.75","3.31","9.48"
"D0BXJ44193","悠诗诗 BLACK无糖黑咖啡","0","0","0"
"D0BXJ44193","ASEED 低糖咖啡","18.16","0","2.7"
"D0BXJ44193","COFFEE卡萨 蓝山风味滤泡式咖啡","4","0.1","0.4"
"D0BXJ44193","Sangaria 三加利 Sangaria三加利炭烧黑咖啡(无糖)","0","0","0.2"
"D0BXJ44193","santafe 查尔岛原味咖啡饮料(金色)","55","1","1"
"DBYCATD8RM","阿斯达 GALAAPPLES","53","0.1","11.8"
"DBYCATD8RM","爱田舍菠萝甜瓜盘","36.09","0.1","8.5"
"DBYCATD8RM","巴梨","51","0.2","12.9"
"DBYCATD8RM","芭蕉","115","0.1","28.9"
"DBYCATD8RM","霸道熊 糖水杂果罐头","55.21","0.1","13.2"
"DBYCATD8RM","白粉桃","26","0.1","5.5"
"DBYCATD8RM","白兰瓜","23","0.1","5.3"
"DBYCATD8RM","百利 有枝红车厘子(装饰性果蔬)","144.75","0","30.3"
"DBYCATD8RM","棒师傅 糖水蜜桔罐头","60.71","0","14.4"
"DBYCATD8RM","棒师傅 有枝黑樱桃","149.86","0","36.4"
"DBYCATD8RM","贝唯他 树莓苹果泥","65.25","0.1","14.7"
"DBYCATD8RM","橙子","48","0.2","11.1"
"DBYCATD8RM","德财 情人果","37.28","0","9.2"
"DBYCATD8RM","地扪 淡味什锦水果罐头","48.39","0","12.1"
"DBYCATD8RM","冬果梨","46","0.2","12.8"
"DBYCATD8RM","斐济果 Feijoa","49","1","11"
"DBYCATD8RM","伏苹果","48","0.1","11.8"
"DBYCATD8RM","覆盆子","52","0.65","11.94"
